FIPS,EP_POV150,EP_AFAM,EP_HISP,EP_ASIAN,RISK_SCORE,HWAV_RISKS
1001,22.9,19.5,2.9,1.2,49.22048998,87.08240535
1003,16.9,8.7,4.6,0.9,97.70919504,91.09131403
1005,40.6,47.5,4.4,0.5,56.18835507,69.71046771
1007,27.6,22.2,2.7,0.3,32.48488705,67.22876233
1009,23.8,1.3,9.3,0.4,65.12885778,82.43716195
1011,42.5,68.6,8.1,1.3,32.45307031,45.17976456
1013,31.6,44.5,1.5,1.3,54.05663379,58.73369392
1015,27.3,20.7,3.9,0.8,84.37798282,89.50047725
1017,28.2,40.0,2.5,1.1,42.34807509,79.38275533
1019,25.9,4.8,1.7,0.1,42.06172447,64.74705695
1021,27.7,9.7,7.8,0.4,58.54279351,79.28730512
1023,29.9,42.3,0.5,0.2,74.3557111,56.53833917
1025,35.2,45.7,0.6,0.5,72.09672288,76.20108177
1027,28.3,15.3,3.1,0.2,22.36716513,53.22939866
1029,27.3,2.6,2.5,0.0,22.55806554,50.23862552
1031,24.9,16.3,7.7,1.6,89.08685969,51.95672924
1033,23.5,16.0,2.9,0.5,71.90582246,79.95545657
1035,34.9,48.1,0.5,0.6,47.53420299,41.20267261
1037,24.1,32.3,1.3,0.0,7.508749602,46.99331849
1039,28.1,12.6,1.8,0.5,88.70505886,71.17403754
1041,27.1,22.9,2.2,1.3,46.26153357,52.14762965
1043,21.8,1.1,4.4,0.4,69.64683423,46.42061724
1045,30.5,20.2,6.7,1.2,79.66910595,52.02036271
1047,41.3,71.4,0.3,0.7,57.84282533,77.21921731
1049,35.4,1.5,14.7,0.1,69.42411709,46.45243398
1051,18.0,21.0,3.0,0.9,57.27012409,86.44607063
1053,37.3,32.0,2.4,0.3,91.37766465,94.08208718
1055,26.4,15.6,4.1,0.8,82.24626153,87.14603882
1057,32.7,12.2,0.5,0.7,29.3986637,63.34712059
1059,33.3,3.8,17.7,0.9,65.47884187,73.78300986
1061,33.9,9.8,4.1,0.2,65.54247534,41.42538976
1063,51.2,78.9,2.7,0.0,18.04008909,50.33407572
1065,37.4,59.1,0.1,0.2,33.1530385,63.9834553
1067,25.9,26.5,2.6,0.4,49.88864143,36.39834553
1069,28.3,27.1,3.4,0.9,90.67769647,70.6013363
1071,30.6,3.6,3.0,0.4,69.93318486,39.7709195
1073,24.9,42.8,3.9,1.6,96.46834235,96.30925867
1075,26.8,11.0,1.7,0.2,29.68501432,49.82500795
1077,24.7,10.0,2.8,0.6,76.36016545,88.51415845
1079,28.0,10.7,2.3,0.1,60.45179765,75.02386255
1081,28.2,22.3,3.7,4.3,70.82405345,93.28666879
1083,20.6,13.4,6.0,1.4,73.59210945,85.77791919
1085,41.5,74.6,0.4,0.0,26.50334076,54.6929685
1087,36.5,81.9,0.4,0.2,20.9990455,66.11517658
1089,18.8,24.3,5.0,2.6,91.28221444,97.32739421
1091,32.6,51.8,2.6,0.0,41.26630608,56.06108813
1093,30.6,3.8,2.6,0.1,57.97009227,65.25612472
1095,28.7,2.8,14.1,0.6,85.17340121,85.58701877
1097,28.8,35.9,2.9,1.9,98.79096405,97.16831053
1099,36.1,42.5,0.4,0.6,58.8927776,61.72446707
1101,29.7,57.8,3.5,3.1,86.25517022,96.91377665
1103,24.9,12.5,8.4,0.6,88.13235762,91.85491569
1105,56.8,68.3,2.0,0.1,13.71301304,45.81609927
1107,37.6,39.9,4.9,0.0,44.82978046,66.14699332
1109,33.1,37.3,2.3,2.1,63.25167038,70.5058861
1111,25.7,19.0,2.9,0.2,29.46229717,60.80178174
1113,31.6,44.4,5.6,1.1,39.26185173,79.86000636
1115,18.7,9.4,2.4,0.8,70.79223672,86.82787146
1117,12.3,12.0,5.7,2.0,87.4005727,93.89118676
1119,44.3,71.3,1.2,2.0,51.06586064,58.8927776
1121,31.0,32.1,2.4,0.5,71.81037226,81.54629335
1123,27.8,27.1,2.4,0.4,50.0477251,79.03277124
1125,26.3,32.1,3.8,1.6,87.11422208,96.65924276
1127,28.8,6.0,2.6,0.4,73.33757556,85.36430162
1129,30.6,24.2,0.9,0.2,58.001909,59.91091314
1131,42.5,70.3,0.5,0.0,23.00349984,52.84759784
1133,31.2,0.8,3.1,0.4,44.00254534,69.93318486
2013,20.7,2.8,8.7,24.0,4.231625835,0.0
2016,11.4,2.9,13.8,40.9,35.22112631,0.0
2020,14.9,5.1,9.4,9.4,94.84568883,0.0
2050,44.6,0.8,1.9,1.1,16.92650334,0.0
2060,9.5,0.5,10.1,2.3,0.159083678,0.0
2063,6.8,1.1,5.6,5.7,8.017817372,0.0
2066,20.0,0.2,4.3,0.6,2.036271079,0.0
2068,20.3,2.2,1.5,2.0,11.7085587,0.0
2070,31.6,1.5,3.0,0.4,2.163538021,0.0
2090,13.7,4.5,8.2,3.2,82.37352848,0.0
2100,22.2,0.0,5.2,1.8,3.722558066,0.0
2105,20.0,3.2,9.3,2.3,4.708876869,0.0
2110,11.6,0.9,6.9,6.7,19.75819281,0.0
2122,19.7,0.5,4.2,1.6,90.96404709,0.0
2130,15.9,0.7,5.5,8.0,0.381800827,0.0
2150,11.9,0.4,9.0,22.8,68.75596564,0.0
2158,57.3,0.1,1.1,0.1,3.277123767,0.0
2164,29.5,6.9,0.3,2.2,1.654470251,0.0
2170,16.6,1.3,5.2,1.5,88.95959275,0.0
2180,36.0,0.7,1.9,2.6,3.40439071,0.0
2185,16.8,1.6,4.1,5.5,8.940502704,0.0
2188,35.5,0.9,2.5,1.2,2.068087814,0.0
2195,12.3,2.0,7.7,14.5,0.445434298,0.0
2198,28.6,0.6,3.8,1.5,0.28635062,0.0
2220,13.1,0.4,6.9,7.6,18.48552339,0.0
2230,10.9,3.6,4.0,2.6,1.463569838,0.0
2240,17.4,0.8,6.6,2.8,58.41552657,0.0
2275,16.7,0.3,3.9,1.7,0.190900414,0.0
2282,17.1,5.7,15.6,8.4,2.608972319,0.0
2290,35.2,0.1,2.5,0.6,45.05249761,0.0
4001,48.9,0.8,6.6,0.4,43.39802736,17.81737194
4003,26.7,3.6,35.5,1.9,85.87336939,86.9551384
4005,27.7,1.3,14.4,1.9,90.23226217,24.33980274
4007,30.6,0.7,19.0,0.8,85.26885142,58.16099268
4009,28.8,1.8,33.1,0.7,68.1832644,82.08717786
4011,20.1,1.8,47.3,0.4,6.967865097,44.47979637
4012,34.0,0.9,27.7,0.8,69.01049952,91.69583201
4013,20.8,5.4,31.1,4.1,97.32739421,99.80909959
4015,26.4,0.9,16.7,1.2,88.41870824,96.18199173
4017,39.0,0.9,11.7,0.5,80.94177537,24.62615336
4019,25.9,3.2,37.5,2.8,94.97295577,99.1091314
4021,21.8,4.3,30.5,1.6,93.12758511,98.82278078
4023,36.6,0.3,83.3,0.4,68.37416481,93.60483614
4025,22.6,0.7,14.7,1.0,88.8323258,53.51574928
4027,31.9,1.7,64.1,1.1,91.66401527,95.00477251
5001,27.8,25.1,3.4,0.1,62.1062679,65.60610881
5003,34.5,24.7,5.6,0.2,59.43366211,78.93732103
5005,24.8,0.2,2.4,0.4,73.49665924,46.48425072
5007,16.5,1.5,16.8,3.9,87.55965638,94.43207127
5009,23.7,0.2,2.6,0.7,70.44225262,50.84314349
5011,30.6,27.5,15.4,0.1,30.60769965,67.86509704
5013,23.3,22.0,4.2,0.0,11.04040725,48.90232262
5015,24.5,0.2,15.1,1.4,68.2787146,75.05567929
5017,44.2,53.7,5.7,0.6,59.59274578,72.98759147
5019,33.2,24.2,4.8,0.6,51.79764556,75.27839644
5021,33.0,0.5,2.2,0.0,64.33343939,83.86891505
5023,25.0,0.9,2.4,0.3,72.44670697,53.7066497
5025,31.9,13.5,0.0,0.0,11.42220808,57.4610245
5027,36.8,36.2,2.8,0.8,48.45688832,77.53738466
5029,34.2,9.9,4.0,0.5,67.51511295,70.69678651
5031,27.1,15.1,5.1,1.3,92.33216672,88.80050907
5033,29.3,1.5,8.0,1.6,77.44193446,97.61374483
5035,33.3,48.4,2.7,0.7,80.75087496,93.70028635
5037,31.0,17.8,2.1,0.0,66.49697741,70.95132039
5039,26.0,43.0,1.6,0.0,13.96754693,55.39293668
5041,42.3,47.4,6.4,0.4,44.73433026,65.66974228
5043,34.7,28.4,3.6,0.0,39.6754693,70.31498568
5045,26.5,11.4,4.2,1.1,89.1823099,85.80973592
5047,35.2,1.0,3.2,0.7,49.92045816,91.82309895
5049,39.2,0.3,0.6,0.1,45.78428253,33.12122176
5051,27.5,8.3,5.8,0.8,86.12790328,87.78237353
5053,19.2,2.5,2.9,0.0,29.08049634,68.15144766
5055,27.8,2.3,2.9,0.4,78.68278715,91.50493159
5057,31.8,30.0,12.9,0.1,58.16099268,76.1374483
5059,26.2,11.2,3.5,0.2,61.85173401,77.82373528
5061,33.6,20.5,12.7,0.9,42.72987591,63.79255488
5063,27.1,1.8,6.6,0.8,78.04645243,69.77410118
5065,31.9,1.0,2.4,0.0,49.34775692,27.77601018
5067,36.1,11.5,3.0,0.1,74.92841234,71.30130449
5069,33.5,55.8,2.2,1.0,84.25071588,88.03690741
5071,33.5,1.5,14.0,2.3,69.26503341,82.37352848
5073,39.7,35.5,2.9,0.7,30.32134903,60.03818008
5075,30.2,1.4,1.6,0.1,68.97868279,75.62838053
5077,40.6,55.5,2.7,0.1,55.83837098,74.67387846
5079,29.2,30.2,4.1,0.0,46.86605154,64.90614063
5081,25.8,19.3,3.7,0.3,25.61247216,56.09290487
5083,29.7,1.5,3.1,1.6,52.05217945,64.55615654
5085,20.0,5.5,4.6,0.9,78.77823735,89.88227808
5087,31.4,0.1,5.8,0.7,61.78810054,62.93350302
5089,29.6,0.7,2.4,0.6,42.76169265,33.34393891
5091,31.3,25.0,3.4,0.3,74.22844416,82.46897868
5093,33.8,34.9,4.4,0.5,88.99140948,92.90486796
5095,35.0,42.3,1.1,0.2,61.53356666,55.17021954
